Acceleration,Velocity,Orientation,Obstacle,GPS
"[0.0044198334, -0.18544126, 0.09388733]","[69.125, -11.826293, -2.1103895]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[-0.011224419, -0.22099507, -0.09108257]","[69.02594, -11.6964245, -1.5235163]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,,"[3.040080553329618e-06, 1.5532972585991816e-06]"
"[-0.08721684, -0.08774364, 0.08240223]","[69.04074, -11.591338, -1.0813236]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[0.009904623, -0.14808643, -0.01975727]","[69.022, -11.513715, -1.0464776]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.014138788, -0.096013784, -0.0018730164]","[68.99826, -11.42103, -1.0421513]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[-0.021600306, -0.08932257, -0.014620781]","[68.9774, -11.339271, -1.0297875]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[0.0073987693, -0.09111345, 0.07152271]","[68.96237, -11.28042, -1.0182419]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[0.027705818, -0.063138604, -0.07380962]","[68.9489, -11.22777, -1.0117488]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,,"[3.040080553387325e-06, 1.5532972586170097e-06]"
,,,"[True, True, False]",
,,,"[True, True, False]",
"[0.003759846, -0.015901685, 0.003668785]","[68.92413, -11.131026, -1.0105507]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.011546925, 0.00019538403, -0.01266861]","[68.91803, -11.106981, -1.0006211]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[-0.013675109, 0.0024604797, -0.011993408]","[68.91107, -11.079662, -0.9927557]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[0.0040781796, -0.037740946, 0.008102417]","[68.90344, -11.049606, -0.9853183]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.001779303, -0.03945732, -0.033103943]","[68.89886, -11.03171, -0.98468626]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.017832205, -0.037403703, -0.0016469955]","[68.89594, -11.020322, -0.9821968]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[-0.013384357, -0.007897139, 0.036697388]","[68.8911, -11.001375, -0.98040223]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.0059426725, 0.012465119, -0.029815674]","[68.88907, -10.993418, -0.98241246]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[0.024195462, 0.02147317, 0.010803223]","[68.88602, -10.981748, -0.9912025]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,,"[3.040080553445138e-06, 1.5532972586348023e-06]"
"[0.0019693524, -0.025515914, -0.034407616]","[68.8854, -10.979219, -0.9867571]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.024823084, -0.03178096, 0.011928558]","[68.88428, -10.974626, -0.98175764]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.0100649595, -0.000702858, 0.02664566]","[68.88358, -10.971911, -0.97861564]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.005394131, -0.036684036, -0.013262749]","[68.8844, -10.975105, -0.9784773]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[0.02468288, -0.023028255, -0.03476143]","[0.88147, -10.963635, -0.97989565]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.019044891, -0.0077929497, -0.015001297]","[68.88022, -10.958739, -0.97499937]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[-0.039824307, 0.025078297, -0.043790817]","[68.88055, -10.960072, -0.9783621]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.0030633807, 0.0047159195, 0.013064384]","[68.87918, -10.954718, -0.978961]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[0.026850477, -0.020647883, 0.017865181]","[68.87814, -10.950707, -0.97909683]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[-0.0014731884, -0.018867493, -0.04250717]","[68.8786, -10.952468, -0.98007697]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,,"[3.0400805535030618e-06, 1.5532972586525684e-06]"
,,,"[True, True, False]",
"[0.002218306, -0.04502058, -0.004508972]","[68.87857, -10.952584, -0.9885841]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
"[0.015612781, 0.07961273, -0.009016037]","[68.87695, -10.94609, -0.9833914]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[-0.0038888156, 0.012825251, 0.0063905716]","[68.87778, -10.9492855, -0.98005104]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[0.017975852, -0.033271432, -0.016083717]","[68.87903, -10.954289, -0.9825145]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.00055652857, -0.013109207, -0.028495789]","[68.87708, -10.946604, -0.97920966]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.015196085, 0.00074863434, 0.04368019]","[68.87683, -10.94555, -0.9784496]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[-0.004286498, 0.0160352, -6.484985e-05]","[68.87552, -10.940386, -0.9772861]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,,"[3.040080553561083e-06, 1.5532972586703233e-06]"
,,,"[True, True, False]",
,,,"[True, True, False]",
"[0.009725645, -0.031935096, -0.008090019]","[68.87595, -10.942067, -0.97599113]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
"[0.002568543, 0.0128775835, 0.0030670166]","[68.87708, -10.946322, -0.9736836]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.0021528006, -0.02797544, -0.008225441]","[68.87775, -10.9492445, -0.9870492]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.01389572, -0.010907054, -0.016629219]","[68.87732, -10.947614, -0.9863076]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.02095434, -0.028061152, 0.006587982]","[68.87772, -10.949157, -0.98715377]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
,,,"[True, True, False]",
"[-0.008783311, -0.03285563, -0.00198555]","[68.87747, -10.948082, -0.97930515]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[-0.002634421, -0.023434639, 0.002960205]","[68.87793, -10.949693, -0.9728915]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,,"[3.0400805536192e-06, 1.553297258688055e-06]"
"[-0.0004066676, -0.030618548, -0.016418457]","[68.8774, -10.947722, -0.9723057]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
"[0.008474156, -0.014573097, -0.013840675]","[68.87872, -10.95264, -0.9685747]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
,,,"[True, True, False]",
"[-0.017300397, -0.038167, -0.0070314407]","[68.87842, -10.951635, -0.97102994]","[0.0, -0.0, -0.4161468365471424, 0.9092974268256817]",,
,,,"[True, True, False]",
